,,min,max,mean,median,std,skew,kurt,sum,cero,observations
2015,crime_count,0.0,2261.0,20.048829701372075,0.0,117.89786587979165,11.757301740014764,170.38977834552108,49681.0,1322,2478
2016,crime_count,0.0,3013.0,19.40556900726392,0.0,120.97482096906471,14.664237485021491,285.4348313821993,48087.0,1335,2478
2017,crime_count,0.0,6851.0,26.61945117029863,0.0,213.59356261104668,21.7038824945116,588.1800108276707,65963.0,1253,2478
2018,crime_count,0.0,7457.0,33.49475383373689,1.0,262.3506002995096,19.401168964407205,466.0980480997443,83000.0,1208,2478
2019,crime_count,0.0,7359.0,37.94915254237288,1.0,288.7226791638524,18.829346245311978,428.7372532337857,94038.0,1098,2478
2020,crime_count,0.0,12480.0,38.175141242937855,1.0,361.26598710523547,25.2595576425423,748.6373314674978,94598.0,1113,2478
2021,crime_count,0.0,20787.0,40.86682808716707,1.0,468.5485081640242,36.85571783561213,1573.0771083968407,101268.0,1082,2478
2022,crime_count,0.0,18950.0,42.87167070217917,1.0,441.07587626146096,34.389488269742024,1400.8632936417835,106236.0,1037,2478
2023,crime_count,0.0,15622.0,43.630750605326874,1.0,386.89288415499635,29.665641231468772,1105.8084873213686,108117.0,1046,2478
2024,crime_count,0.0,15648.0,44.44834543987086,1.0,384.38035895517766,29.435463079002588,1118.4857502459568,110143.0,1093,2478
2025,crime_count,0.0,15932.0,49.53874092009685,1.0,398.40060529763593,28.27599727176698,1045.6378624223044,122757.0,937,2478
