year,HH,HL,LH,LL,ns
2015,73,1,89,620,2250
2016,71,6,91,636,2229
2017,75,3,88,623,2244
2018,77,2,71,472,2411
2019,75,2,86,566,2304
2020,85,2,97,575,2274
2021,89,1,93,696,2154
2022,90,2,85,578,2278
2023,88,5,82,573,2285
2024,86,4,80,665,2198
2025,99,5,88,667,2174
