year,CS,HS,ns
2015,1057,162,1814
2016,905,162,1966
2017,892,163,1978
2018,697,148,2188
2019,678,161,2194
2020,718,182,2133
2021,730,182,2121
2022,699,175,2159
2023,661,170,2202
2024,720,166,2147
2025,731,187,2115
